Architecture,Alpha,StationID,ATMP,DEWP,PRES,WDIR,WSPD,WTMP,ATMP_ERA5,DEWP_ERA5,PRES_ERA5,WSPD_ERA5,WTMP_ERA5,WDIR_ERA5
LSTM,0,42001,0.623,0.626,0.424,46.14,1.176,0.093,0.24,0.218,0.404,0.466,0.017,16.441
LSTM,0,42002,0.207,0.044,0.397,29.889,0.754,0.024,0.152,0.13,0.35,0.576,0.015,23.751
LSTM,0,42003,0.195,0.106,0.033,0.269,0.151,0.048,0.259,0.164,0.493,0.585,0.012,9.916
LSTM,0,42019,0.239,0.509,0.386,0.098,0.59,0.113,0.18,0.153,0.398,0.549,0.008,21.831
LSTM,0,42020,0.452,0.567,0.441,28.534,0.71,0.407,0.132,0.245,0.432,0.375,0.007,24.422
LSTM,0,42035,0.112,0.086,0.054,0.203,0.05,0.071,0.167,0.152,0.36,0.494,0.037,22.265
LSTM,0,42036,0.406,0.482,0.572,24.945,1.279,,0.159,0.21,0.413,0.673,,8.72
LSTM,0,42039,0.689,,0.607,37.7,2.2,0.21,0.382,,0.431,0.808,0.023,8.712
LSTM,0,42040,0.433,0.227,0.568,11.653,1.166,0.14,0.22,0.243,0.354,0.976,0.016,15.37
LSTM,0.1,42001,0.596,0.544,0.392,46.1,1.205,0.071,0.245,0.218,0.404,0.473,0.018,16.029
LSTM,0.1,42002,0.163,0.011,0.406,29.853,0.787,0.003,0.146,0.121,0.349,0.588,0.015,23.613
LSTM,0.1,42003,0.004,0.005,0.009,0.121,0.007,0.005,0.263,0.167,0.494,0.579,0.012,9.519
LSTM,0.1,42019,0.241,0.469,0.357,0.602,0.611,0.003,0.19,0.178,0.38,0.533,0.008,21.987
LSTM,0.1,42020,0.438,0.562,0.421,28.547,0.694,0.235,0.143,0.253,0.416,0.396,0.006,23.76
LSTM,0.1,42035,0.019,0.026,0.034,0.273,0.024,0.005,0.173,0.164,0.348,0.502,0.037,25.93
LSTM,0.1,42036,0.286,0.49,0.556,24.992,1.234,,0.169,0.215,0.418,0.675,,8.594
LSTM,0.1,42039,0.598,,0.596,37.653,2.228,0.005,0.379,,0.436,0.808,0.024,10.207
LSTM,0.1,42040,0.387,0.255,0.566,11.598,1.15,0.111,0.215,0.253,0.36,0.973,0.018,13.395
LSTM,0.2,42001,0.596,0.544,0.397,45.982,1.217,0.071,0.24,0.219,0.419,0.479,0.017,15.834
LSTM,0.2,42002,0.163,0.009,0.405,29.853,0.779,0.003,0.155,0.132,0.372,0.577,0.015,24.046
