Architecture,Alpha,StationID,ATMP,DEWP,PRES,WDIR,WSPD,WTMP
LSTM,0,42001,0.623,0.626,0.424,46.14,1.176,0.093
LSTM,0,42002,0.207,0.044,0.397,29.889,0.754,0.024
LSTM,0,42003,0.195,0.106,0.033,0.269,0.151,0.048
LSTM,0,42019,0.239,0.509,0.386,0.098,0.59,0.113
LSTM,0,42020,0.452,0.567,0.441,28.534,0.71,0.407
LSTM,0,42035,0.112,0.086,0.054,0.203,0.05,0.071
LSTM,0,42036,0.406,0.482,0.572,24.945,1.279,
LSTM,0,42039,0.689,,0.607,37.7,2.2,0.21
LSTM,0,42040,0.433,0.227,0.568,11.653,1.166,0.14
LSTM,0.1,42001,0.596,0.544,0.392,46.1,1.205,0.071
LSTM,0.1,42002,0.163,0.011,0.406,29.853,0.787,0.003
LSTM,0.1,42003,0.004,0.005,0.009,0.121,0.007,0.005
LSTM,0.1,42019,0.241,0.469,0.357,0.602,0.611,0.003
LSTM,0.1,42020,0.438,0.562,0.421,28.547,0.694,0.235
LSTM,0.1,42035,0.019,0.026,0.034,0.273,0.024,0.005
LSTM,0.1,42036,0.286,0.49,0.556,24.992,1.234,
LSTM,0.1,42039,0.598,,0.596,37.653,2.228,0.005
LSTM,0.1,42040,0.387,0.255,0.566,11.598,1.15,0.111
LSTM,0.2,42001,0.596,0.544,0.397,45.982,1.217,0.071
LSTM,0.2,42002,0.163,0.009,0.405,29.853,0.779,0.003
LSTM,0.2,42003,0.003,0.004,0.01,0.121,0.006,0.004
LSTM,0.2,42019,0.233,0.462,0.367,0.55,0.604,0.005
LSTM,0.2,42020,0.439,0.556,0.435,28.676,0.691,0.236
LSTM,0.2,42035,0.026,0.025,0.037,0.255,0.031,0.003
LSTM,0.2,42036,0.287,0.491,0.553,24.878,1.24,
LSTM,0.2,42039,0.597,,0.589,37.607,2.219,0.004
LSTM,0.2,42040,0.381,0.247,0.575,11.569,1.139,0.109
LSTM,0.3,42001,0.597,0.547,0.39,46.239,1.211,0.071
LSTM,0.3,42002,0.159,0.01,0.4,29.888,0.788,0.004
LSTM,0.3,42003,0.002,0.005,0.015,0.296,0.009,0.004
