Architecture,Alpha,StationID,ATMP,DEWP,PRES,WDIR,WSPD,WTMP
LSTM,0.0,42001,0.0,0.0,0.0,0.0,0.0,0.0
LSTM,0.0,42002,0.0,0.0,0.0,0.0,0.0,0.0
LSTM,0.0,42003,0.0,0.0,0.0,0.0,0.0,0.0
LSTM,0.0,42019,0.0,0.0,0.0,0.0,0.0,0.0
LSTM,0.0,42020,0.0,0.0,0.0,0.0,0.0,0.0
LSTM,0.0,42035,0.0,0.0,0.0,0.0,0.0,0.0
LSTM,0.0,42036,0.0,0.0,0.0,0.0,0.0,
LSTM,0.0,42039,0.0,,0.0,0.0,0.0,0.0
LSTM,0.0,42040,0.0,0.0,0.0,0.0,0.0,0.0
LSTM,0.1,42001,-0.027000000000000024,-0.08199999999999996,-0.03199999999999997,-0.03999999999999915,0.029000000000000137,-0.022000000000000006
LSTM,0.1,42002,-0.043999999999999984,-0.033,0.009000000000000008,-0.03599999999999781,0.03300000000000003,-0.021
LSTM,0.1,42003,-0.191,-0.10099999999999999,-0.024,-0.14800000000000002,-0.144,-0.043000000000000003
LSTM,0.1,42019,0.0020000000000000018,-0.040000000000000036,-0.029000000000000026,0.504,0.02100000000000002,-0.11
LSTM,0.1,42020,-0.014000000000000012,-0.004999999999999893,-0.020000000000000018,0.013000000000001677,-0.016000000000000014,-0.172
LSTM,0.1,42035,-0.093,-0.06,-0.019999999999999997,0.07,-0.026000000000000002,-0.06599999999999999
LSTM,0.1,42036,-0.12000000000000005,0.008000000000000007,-0.015999999999999903,0.0470000000000006,-0.04499999999999993,
LSTM,0.1,42039,-0.09099999999999997,,-0.01100000000000001,-0.04700000000000415,0.028000000000000025,-0.205
LSTM,0.1,42040,-0.045999999999999985,0.027999999999999997,-0.0020000000000000018,-0.054999999999999716,-0.016000000000000014,-0.029000000000000012
LSTM,0.2,42001,-0.027000000000000024,-0.08199999999999996,-0.02699999999999997,-0.15800000000000125,0.04100000000000015,-0.022000000000000006
LSTM,0.2,42002,-0.043999999999999984,-0.034999999999999996,0.008000000000000007,-0.03599999999999781,0.025000000000000022,-0.021
LSTM,0.2,42003,-0.192,-0.102,-0.023,-0.14800000000000002,-0.145,-0.044
LSTM,0.2,42019,-0.005999999999999978,-0.046999999999999986,-0.019000000000000017,0.45200000000000007,0.014000000000000012,-0.108
LSTM,0.2,42020,-0.013000000000000012,-0.010999999999999899,-0.006000000000000005,0.14199999999999946,-0.019000000000000017,-0.17099999999999999
LSTM,0.2,42035,-0.08600000000000001,-0.06099999999999999,-0.017,0.05199999999999999,-0.019000000000000003,-0.06799999999999999
LSTM,0.2,42036,-0.11900000000000005,0.009000000000000008,-0.018999999999999906,-0.06700000000000017,-0.038999999999999924,
LSTM,0.2,42039,-0.09199999999999997,,-0.018000000000000016,-0.09300000000000352,0.018999999999999684,-0.206
LSTM,0.2,42040,-0.05199999999999999,0.01999999999999999,0.007000000000000006,-0.08399999999999963,-0.026999999999999913,-0.031000000000000014
LSTM,0.3,42001,-0.026000000000000023,-0.07899999999999996,-0.033999999999999975,0.09899999999999665,0.03500000000000014,-0.022000000000000006
LSTM,0.3,42002,-0.04799999999999999,-0.033999999999999996,0.0030000000000000027,-0.0009999999999976694,0.03400000000000003,-0.02
LSTM,0.3,42003,-0.193,-0.10099999999999999,-0.018000000000000002,0.02699999999999997,-0.142,-0.044
LSTM,0.3,42019,0.007000000000000006,-0.040000000000000036,-0.03400000000000003,0.504,0.006000000000000005,-0.107
LSTM,0.3,42020,-0.01200000000000001,-0.006999999999999895,-0.01200000000000001,-0.17499999999999716,-0.03199999999999992,-0.17299999999999996
LSTM,0.3,42035,-0.078,-0.03699999999999999,-0.003999999999999997,0.2,-0.018000000000000002,-0.06699999999999999
LSTM,0.3,42036,-0.12000000000000005,0.010000000000000009,-0.025999999999999912,-0.027999999999998693,-0.04499999999999993,
LSTM,0.3,42039,-0.08899999999999997,,-0.020000000000000018,0.7560000000000002,0.022999999999999687,-0.207
LSTM,0.3,42040,-0.05299999999999999,0.028999999999999998,-0.013999999999999901,-1.5510000000000002,-0.02400000000000002,-0.030000000000000013
LSTM,0.4,42001,-0.02300000000000002,-0.07599999999999996,-0.02699999999999997,-0.009000000000000341,0.03600000000000003,-0.022000000000000006
LSTM,0.4,42002,-0.044999999999999984,-0.028999999999999998,0.0030000000000000027,0.10300000000000153,0.031000000000000028,-0.019
LSTM,0.4,42003,-0.19,-0.098,-0.016,3.469,-0.135,-0.044
LSTM,0.4,42019,0.01100000000000001,-0.040000000000000036,-0.031000000000000028,7.587,0.008000000000000007,-0.108
LSTM,0.4,42020,-0.02300000000000002,-0.010999999999999899,-0.019000000000000017,1.4750000000000014,-0.02100000000000002,-0.172
LSTM,0.4,42035,-0.09,-0.05199999999999999,-0.006999999999999999,3.164,-0.028000000000000004,-0.06699999999999999
LSTM,0.4,42036,-0.12100000000000005,0.01200000000000001,-0.015999999999999903,5.4510000000000005,-0.041999999999999815,
LSTM,0.4,42039,-0.09199999999999997,,-0.014000000000000012,2.219999999999999,0.028999999999999915,-0.205
LSTM,0.4,42040,-0.04899999999999999,0.028999999999999998,0.0020000000000000018,4.417,-0.02299999999999991,-0.031000000000000014
LSTM,0.5,42001,-0.02100000000000002,-0.07399999999999995,-0.022999999999999965,3.1599999999999966,0.03300000000000014,-0.022000000000000006
LSTM,0.5,42002,-0.046999999999999986,-0.022999999999999996,0.006000000000000005,0.2560000000000002,0.03600000000000003,-0.014
LSTM,0.5,42003,-0.19,-0.09899999999999999,-0.017,5.42,-0.136,-0.043000000000000003
LSTM,0.5,42019,-0.0040000000000000036,-0.04799999999999999,-0.01200000000000001,4.5840000000000005,0.0040000000000000036,-0.10400000000000001
LSTM,0.5,42020,-0.029000000000000026,-0.014999999999999902,-0.0040000000000000036,1.2650000000000006,-0.02100000000000002,-0.17299999999999996
LSTM,0.5,42035,-0.098,-0.059,-0.019999999999999997,7.09,-0.036000000000000004,-0.06499999999999999
LSTM,0.5,42036,-0.11800000000000005,0.010000000000000009,-0.02399999999999991,5.2620000000000005,-0.04499999999999993,
LSTM,0.5,42039,-0.09299999999999997,,-0.008000000000000007,9.995999999999995,0.02699999999999969,-0.206
LSTM,0.5,42040,-0.05199999999999999,0.033,-0.0020000000000000018,15.290999999999999,-0.03600000000000003,-0.032000000000000015
LSTM,0.6,42001,-0.02300000000000002,-0.07299999999999995,-0.022999999999999965,-1.3530000000000015,0.039000000000000146,-0.022000000000000006
LSTM,0.6,42002,-0.04799999999999999,-0.028999999999999998,0.011999999999999955,0.20400000000000063,0.038000000000000034,-0.019
LSTM,0.6,42003,-0.19,-0.096,-0.016,4.8469999999999995,-0.128,-0.044
LSTM,0.6,42019,-0.005999999999999978,-0.04899999999999999,-0.014000000000000012,5.013,0.014000000000000012,-0.11
LSTM,0.6,42020,-0.027000000000000024,-0.0129999999999999,0.0,10.468000000000004,-0.02499999999999991,-0.172
LSTM,0.6,42035,-0.094,-0.055999999999999994,-0.027,5.931,-0.027000000000000003,-0.06499999999999999
LSTM,0.6,42036,-0.11400000000000005,0.016000000000000014,-0.015999999999999903,7.088000000000001,-0.03399999999999981,
LSTM,0.6,42039,-0.09199999999999997,,-0.013000000000000012,6.214999999999996,0.03200000000000003,-0.204
LSTM,0.6,42040,-0.04899999999999999,0.04000000000000001,-0.0020000000000000018,-0.3620000000000001,-0.038000000000000034,-0.031000000000000014
LSTM,0.7,42001,-0.026000000000000023,-0.07799999999999996,-0.033999999999999975,-1.6559999999999988,0.037000000000000144,-0.022000000000000006
LSTM,0.7,42002,-0.045999999999999985,-0.023999999999999997,0.008000000000000007,0.20599999999999952,0.038000000000000034,-0.017
LSTM,0.7,42003,-0.192,-0.098,-0.011000000000000003,4.276,-0.13699999999999998,-0.044
LSTM,0.7,42019,0.0050000000000000044,-0.04899999999999999,-0.02300000000000002,5.640000000000001,0.007000000000000006,-0.106
LSTM,0.7,42020,-0.030000000000000027,-0.02199999999999991,-0.0050000000000000044,1.3889999999999993,-0.03499999999999992,-0.172
LSTM,0.7,42035,-0.092,-0.05099999999999999,-0.012999999999999998,10.236,-0.024000000000000004,-0.06799999999999999
LSTM,0.7,42036,-0.11300000000000004,0.014000000000000012,-0.018999999999999906,3.3200000000000003,-0.041999999999999815,
LSTM,0.7,42039,-0.08999999999999997,,-0.02100000000000002,5.411999999999999,0.016000000000000014,-0.205
LSTM,0.7,42040,-0.05399999999999999,0.032,-0.0050000000000000044,6.063999999999998,-0.02400000000000002,-0.031000000000000014
LSTM,0.8,42001,-0.02200000000000002,-0.07699999999999996,-0.024999999999999967,0.47699999999999676,0.03500000000000014,-0.022000000000000006
LSTM,0.8,42002,-0.05199999999999999,-0.026999999999999996,0.006000000000000005,0.9089999999999989,0.039000000000000035,-0.019
LSTM,0.8,42003,-0.189,-0.09899999999999999,-0.021,3.0189999999999997,-0.134,-0.043000000000000003
LSTM,0.8,42019,-0.0069999999999999785,-0.04199999999999998,-0.007000000000000006,7.244,0.030000000000000027,-0.106
LSTM,0.8,42020,-0.03300000000000003,-0.017999999999999905,0.0020000000000000018,14.564999999999998,-0.028999999999999915,-0.17299999999999996
LSTM,0.8,42035,-0.10300000000000001,-0.06499999999999999,-0.041999999999999996,4.85,-0.030000000000000002,-0.06599999999999999
LSTM,0.8,42036,-0.11900000000000005,0.008000000000000007,-0.018999999999999906,10.195999999999998,-0.04799999999999982,
LSTM,0.8,42039,-0.09099999999999997,,-0.019000000000000017,7.683,0.03600000000000003,-0.207
LSTM,0.8,42040,-0.057999999999999996,0.025999999999999995,-0.0020000000000000018,3.5250000000000004,-0.03200000000000003,-0.031000000000000014
LSTM,0.9,42001,-0.02300000000000002,-0.07799999999999996,-0.024999999999999967,1.2119999999999962,0.03400000000000003,-0.022000000000000006
LSTM,0.9,42002,-0.045999999999999985,-0.027999999999999997,0.014999999999999958,0.3240000000000016,0.03700000000000003,-0.017
LSTM,0.9,42003,-0.189,-0.095,-0.018000000000000002,3.713,-0.144,-0.043000000000000003
LSTM,0.9,42019,-0.004999999999999977,-0.043999999999999984,-0.008000000000000007,5.585,0.01100000000000001,-0.10500000000000001
LSTM,0.9,42020,-0.03600000000000003,-0.017999999999999905,0.008000000000000007,13.289000000000001,-0.020000000000000018,-0.17299999999999996
LSTM,0.9,42035,-0.1,-0.06699999999999999,-0.041,3.0420000000000003,-0.021,-0.06599999999999999
LSTM,0.9,42036,-0.11300000000000004,0.018000000000000016,-0.016999999999999904,7.509999999999998,-0.041999999999999815,
LSTM,0.9,42039,-0.08699999999999997,,-0.020000000000000018,4.994,0.03299999999999992,-0.206
LSTM,0.9,42040,-0.056999999999999995,0.035,0.0010000000000000009,2.843,-0.028999999999999915,-0.031000000000000014
LSTM,1.0,42001,-0.025000000000000022,-0.07499999999999996,-0.01899999999999996,0.021999999999998465,0.040000000000000036,-0.022000000000000006
LSTM,1.0,42002,-0.043999999999999984,-0.023999999999999997,0.012999999999999956,1.3300000000000018,0.03600000000000003,-0.02
LSTM,1.0,42003,-0.183,-0.09,-0.010000000000000002,4.781,-0.136,-0.044
LSTM,1.0,42019,-0.0069999999999999785,-0.05099999999999999,-0.008000000000000007,6.2490000000000006,0.02100000000000002,-0.10200000000000001
LSTM,1.0,42020,-0.031000000000000028,-0.02299999999999991,0.009000000000000008,8.091999999999999,-0.029999999999999916,-0.17299999999999996
