Architecture,Alpha,StationID,ATMP,DEWP,PRES,WDIR,WSPD,WTMP
LSTM,0,42001,0.709,0.792,0.228,3980.978,2.724,0.013
LSTM,0,42002,0.1,0.004,0.237,1789.096,0.923,0.001
LSTM,0,42003,0.052,0.016,0.002,0.078,0.024,0.004
LSTM,0,42019,0.102,0.527,0.295,0.016,0.604,0.019
LSTM,0,42020,0.428,0.618,0.278,2372.501,0.746,0.235
LSTM,0,42035,0.014,0.008,0.013,0.045,0.018,0.006
LSTM,0,42036,0.226,0.751,0.529,1900.489,2.288,
LSTM,0,42039,1.004,,0.657,3411.863,9.424,0.046
LSTM,0,42040,0.341,0.09,0.491,290.089,2.252,0.025
LSTM,0.1,42001,0.717,0.74,0.206,3968.563,2.805,0.01
LSTM,0.1,42002,0.076,0,0.234,1784.133,0.905,0
LSTM,0.1,42003,0,0,0,0.032,0,0
LSTM,0.1,42019,0.106,0.511,0.23,1.162,0.602,0
LSTM,0.1,42020,0.394,0.609,0.254,2378.943,0.728,0.126
LSTM,0.1,42035,0.002,0.002,0.004,0.281,0.003,0
LSTM,0.1,42036,0.161,0.765,0.496,1899.335,2.18,
LSTM,0.1,42039,0.979,,0.643,3409.914,9.539,0
LSTM,0.1,42040,0.291,0.134,0.466,289.961,2.162,0.018
LSTM,0.2,42001,0.715,0.735,0.21,3951.698,2.83,0.01
LSTM,0.2,42002,0.076,0,0.236,1788.126,0.894,0
LSTM,0.2,42003,0,0,0,0.036,0,0
LSTM,0.2,42019,0.099,0.512,0.233,0.899,0.603,0
LSTM,0.2,42020,0.398,0.613,0.265,2384.502,0.725,0.126
LSTM,0.2,42035,0.003,0.002,0.006,0.273,0.004,0
LSTM,0.2,42036,0.161,0.764,0.492,1893.193,2.19,
LSTM,0.2,42039,0.979,,0.628,3409.096,9.467,0
LSTM,0.2,42040,0.282,0.118,0.478,289.561,2.148,0.018
LSTM,0.3,42001,0.712,0.734,0.202,3975.405,2.832,0.01
LSTM,0.3,42002,0.075,0,0.23,1788.717,0.906,0
LSTM,0.3,42003,0,0,0.001,0.175,0,0
LSTM,0.3,42019,0.104,0.511,0.221,0.636,0.588,0
LSTM,0.3,42020,0.398,0.62,0.257,2388.93,0.7,0.126
LSTM,0.3,42035,0.006,0.01,0.009,0.328,0.006,0
LSTM,0.3,42036,0.16,0.762,0.482,1891.728,2.184,
LSTM,0.3,42039,0.979,,0.627,3449.817,9.466,0
LSTM,0.3,42040,0.279,0.126,0.449,210.95,2.175,0.019
LSTM,0.4,42001,0.718,0.741,0.206,3978.878,2.869,0.01
LSTM,0.4,42002,0.076,0,0.23,1796.263,0.907,0
LSTM,0.4,42003,0,0,0.001,30.197,0.001,0
LSTM,0.4,42019,0.11,0.502,0.225,188.957,0.589,0
LSTM,0.4,42020,0.375,0.604,0.259,2391.287,0.715,0.126
LSTM,0.4,42035,0.002,0.003,0.006,37.112,0.001,0
LSTM,0.4,42036,0.159,0.764,0.489,2362.318,2.183,
LSTM,0.4,42039,0.978,,0.64,3376.29,9.484,0
LSTM,0.4,42040,0.288,0.133,0.475,444.829,2.158,0.018
LSTM,0.5,42001,0.718,0.743,0.21,4232.565,2.839,0.01
LSTM,0.5,42002,0.075,0.001,0.236,1847.612,0.912,0
LSTM,0.5,42003,0,0,0.001,74.756,0,0
LSTM,0.5,42019,0.102,0.495,0.248,48.329,0.588,0
LSTM,0.5,42020,0.367,0.598,0.275,2455.407,0.708,0.126
LSTM,0.5,42035,0.001,0.002,0.003,164.952,0,0
LSTM,0.5,42036,0.158,0.75,0.485,2183.739,2.182,
LSTM,0.5,42039,0.977,,0.644,4446.364,9.473,0
LSTM,0.5,42040,0.282,0.132,0.469,1892.39,2.134,0.018
LSTM,0.6,42001,0.711,0.738,0.214,4078.087,2.834,0.01
LSTM,0.6,42002,0.075,0,0.242,1820.549,0.925,0
LSTM,0.6,42003,0,0,0,58.436,0.001,0
LSTM,0.6,42019,0.104,0.514,0.245,71.511,0.588,0
LSTM,0.6,42020,0.364,0.598,0.272,3283.53,0.71,0.126
LSTM,0.6,42035,0.001,0.002,0.001,159.999,0.001,0
LSTM,0.6,42036,0.16,0.769,0.493,2570.57,2.215,
LSTM,0.6,42039,0.982,,0.647,3743.666,9.483,0
LSTM,0.6,42040,0.284,0.137,0.465,298.618,2.129,0.018
LSTM,0.7,42001,0.712,0.735,0.206,3715.533,2.848,0.01
LSTM,0.7,42002,0.076,0.001,0.232,1817.564,0.914,0
LSTM,0.7,42003,0,0,0.001,40.468,0,0
LSTM,0.7,42019,0.108,0.49,0.234,80.175,0.589,0
LSTM,0.7,42020,0.357,0.592,0.268,2493.308,0.706,0.126
LSTM,0.7,42035,0.001,0.003,0.003,554.685,0.001,0
LSTM,0.7,42036,0.161,0.765,0.495,1956.41,2.179,
LSTM,0.7,42039,0.98,,0.631,3995.487,9.429,0
LSTM,0.7,42040,0.276,0.128,0.473,587.455,2.169,0.018
LSTM,0.8,42001,0.718,0.737,0.208,4250.554,2.847,0.01
LSTM,0.8,42002,0.071,0.001,0.232,1857.292,0.915,0
LSTM,0.8,42003,0,0,0,22.326,0.001,0
LSTM,0.8,42019,0.102,0.499,0.255,97.093,0.613,0
LSTM,0.8,42020,0.365,0.592,0.272,3986.071,0.71,0.126
LSTM,0.8,42035,0,0.001,0,57.512,0.001,0
LSTM,0.8,42036,0.159,0.759,0.485,3357.78,2.173,
LSTM,0.8,42039,0.979,,0.633,4040.492,9.482,0
LSTM,0.8,42040,0.274,0.122,0.465,461.1,2.142,0.018
LSTM,0.9,42001,0.715,0.735,0.208,4071.072,2.847,0.01
LSTM,0.9,42002,0.077,0.001,0.241,1812.213,0.918,0
LSTM,0.9,42003,0,0,0,31.064,0,0
LSTM,0.9,42019,0.103,0.508,0.252,78.024,0.595,0
LSTM,0.9,42020,0.353,0.592,0.277,4597.319,0.725,0.125
LSTM,0.9,42035,0,0.001,0,18.296,0.002,0
LSTM,0.9,42036,0.16,0.77,0.491,2667.267,2.178,
LSTM,0.9,42039,0.983,,0.631,3509.48,9.498,0
LSTM,0.9,42040,0.276,0.128,0.472,395.959,2.149,0.018
LSTM,1,42001,0.712,0.733,0.215,4080.532,2.858,0.01
LSTM,1,42002,0.077,0.001,0.238,1995.371,0.906,0
LSTM,1,42003,0,0,0.001,53.757,0,0
LSTM,1,42019,0.103,0.49,0.256,124.312,0.607,0
LSTM,1,42020,0.362,0.597,0.281,3632.797,0.699,0.126
LSTM,1,42035,0,0.002,0.001,63.892,0.002,0
LSTM,1,42036,0.161,0.771,0.492,1969.001,2.189,
LSTM,1,42039,0.973,,0.639,3726.425,9.477,0
LSTM,1,42040,0.279,0.13,0.47,496.039,2.13,0.019
GRU,0,42001,0.78,0.883,0.502,3986.589,3.119,0.03
GRU,0,42002,0.359,0.011,0.36,1806.199,2.365,0.418
GRU,0,42003,0.05,0.198,0.029,0.031,0.357,0.241
GRU,0,42019,1.041,0.529,0.393,0.19,0.624,0.758
GRU,0,42020,0.637,0.62,0.345,2376.584,0.635,0.238
GRU,0,42035,0.226,0.048,0.017,0.194,0.244,0.023
GRU,0,42036,0.787,1.048,0.526,1898.481,2.26,
GRU,0,42039,1.231,,0.695,3432.007,9.592,0.393
GRU,0,42040,0.287,0.102,0.989,281.659,2.26,1.059
GRU,0.1,42001,0.703,0.735,0.2,3974.611,2.838,0.01
GRU,0.1,42002,0.076,0,0.228,1791.168,0.899,0
GRU,0.1,42003,0,0,0,0.123,0.001,0
GRU,0.1,42019,0.099,0.507,0.238,0.252,0.597,0
GRU,0.1,42020,0.394,0.612,0.263,2387.976,0.695,0.126
GRU,0.1,42035,0,0.001,0.002,0.115,0,0
GRU,0.1,42036,0.16,0.762,0.487,1901.092,2.187,
